id,Week,IA Local,IA knowledge,Local FullScreen,Maps Appstart,fond de carte,geocodeur,détails
1,47,732,225,19,65,9947,475,128
2,48,744,370,20,65,9947,475,128
3,49,737,457,22,65,9947,475,128
4,50,743,474,23,22,4719,153,32
5,51,754,462,24,12,4059,77,16
6,01,593,318,21,8,3590,71,10
7,02,481,388,24,10,4634,73,11
8,03,497,397,25,11,4801,77,13
9,04,750,552,26,10,4665,66,6
10,05,749,473,25,9,4340,63,6
11,06,761,364,24,9,4001,66,6
12,07,772,357,25,8,3956,63,5
13,08,741,348,25,8,3862,56,5
14,09,729,345,23,8,3760,53,5
15,10,780,366,24,9,4033,58,7
16,11,785,367,25,8,3988,54,6
17,12,750,357,25,9,3980,65,6
